#Wave,F560W,F770W,F1000W,F1130W,F1280W,F1500W,F1800W,F2100W,F2550W
#micron,el/phot,el/phot,el/phot,el/phot,el/phot,el/phot,el/phot,el/phot,el/phot
1,0,0,0,0,0,0,0,0,0
1.006,0,0,0,0,0,0,0,0,0
1.012,0,0,0,0,0,0,0,0,0
1.017,0,0,0,0,0,0,0,0,0
1.023,0,0,0,0,0,0,0,0,0
1.029,0,0,0,0,0,0,0,0,0
1.035,0,0,0,0,0,0,0,0,0
1.041,0,0,0,0,0,0,0,0,0
1.046,0,0,0,0,0,0,0,0,0
1.052,0,0,0,0,0,0,0,0,0
1.058,0,0,0,0,0,0,0,0,0
1.064,0,0,0,0,0,0,0,0,0
1.07,0,0,0,0,0,0,0,0,0
1.075,0,0,0,0,0,0,0,0,0
1.081,0,0,0,0,0,0,0,0,0
1.087,0,0,0,0,0,0,0,0,0
1.093,0,0,0,0,0,0,0,0,0
1.099,0,0,0,0,0,0,0,0,0
1.104,0,0,0,0,0,0,0,0,0
1.11,0,0,0,0,0,0,0,0,0
1.116,0,0,0,0,0,0,0,0,0
1.122,0,0,0,0,0,0,0,0,0
1.128,0,0,0,0,0,0,0,0,0
1.133,0,0,0,0,0,0,0,0,0
1.139,0,0,0,0,0,0,0,0,0
1.145,0,0,0,0,0,0,0,0,0
1.151,0,0,0,0,0,0,0,0,0
1.157,0,0,0,0,0,0,0,0,0
1.162,0,0,0,0,0,0,0,0,0
1.168,0,0,0,0,0,0,0,0,0
1.174,0,0,0,0,0,0,0,0,0
1.18,0,0,0,0,0,0,0,0,0
1.186,0,0,0,0,0,0,0,0,0
1.191,0,0,0,0,0,0,0,0,0
1.197,0,0,0,0,0,0,0,0,0
1.203,0,0,0,0,0,0,0,0,0
1.209,0,0,0,0,0,0,0,0,0
1.215,0,0,0,0,0,0,0,0,0
1.22,0,0,0,0,0,0,0,0,0
1.226,0,0,0,0,0,0,0,0,0
1.232,0,0,0,0,0,0,0,0,0
1.238,0,0,0,0,0,0,0,0,0
1.244,0,0,0,0,0,0,0,0,0
1.249,0,0,0,0,0,0,0,0,0
1.255,0,0,0,0,0,0,0,0,0
1.261,0,0,0,0,0,0,0,0,0
1.267,0,0,0,0,0,0,0,0,0
1.273,0,0,0,0,0,0,0,0,0
1.278,0,0,0,0,0,0,0,0,0
1.284,0,0,0,0,0,0,0,0,0
1.29,0,0,0,0,0,0,0,0,0
1.296,0,0,0,0,0,0,0,0,0
1.302,0,0,0,0,0,0,0,0,0
1.307,0,0,0,0,0,0,0,0,0
1.313,0,0,0,0,0,0,0,0,0
1.319,0,0,0,0,0,0,0,0,0
1.325,0,0,0,0,0,0,0,0,0
1.331,0,0,0,0,0,0,0,0,0
1.336,0,0,0,0,0,0,0,0,0
1.342,0,0,0,0,0,0,0,0,0
1.348,0,0,0,0,0,0,0,0,0
1.354,0,0,0,0,0,0,0,0,0
1.36,0,0,0,0,0,0,0,0,0
1.365,0,0,0,0,0,0,0,0,0
1.371,0,0,0,0,0,0,0,0,0
1.377,0,0,0,0,0,0,0,0,0
1.383,0,0,0,0,0,0,0,0,0
1.389,0,0,0,0,0,0,0,0,0
1.394,0,0,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0,0
1.406,0,0,0,0,0,0,0,0,0
1.412,0,0,0,0,0,0,0,0,0
1.418,0,0,0,0,0,0,0,0,0
1.423,0,0,0,0,0,0,0,0,0
1.429,0,0,0,0,0,0,0,0,0
1.435,0,0,0,0,0,0,0,0,0
1.441,0,0,0,0,0,0,0,0,0
1.447,0,0,0,0,0,0,0,0,0
1.452,0,0,0,0,0,0,0,0,0
1.458,0,0,0,0,0,0,0,0,0
1.464,0,0,0,0,0,0,0,0,0
1.47,0,0,0,0,0,0,0,0,0
1.476,0,0,0,0,0,0,0,0,0
1.481,0,0,0,0,0,0,0,0,0
1.487,0,0,0,0,0,0,0,0,0
1.493,0,0,0,0,0,0,0,0,0
1.499,0,0,0,0,0,0,0,0,0
1.505,0,0,0,0,0,0,0,0,0
1.51,0,0,0,0,0,0,0,0,0
1.516,0,0,0,0,0,0,0,0,0
1.522,0,0,0,0,0,0,0,0,0
1.528,0,0,0,0,0,0,0,0,0
1.534,0,0,0,0,0,0,0,0,0
1.539,0,0,0,0,0,0,0,0,0
1.545,0,0,0,0,0,0,0,0,0
1.551,0,0,0,0,0,0,0,0,0
1.557,0,0,0,0,0,0,0,0,0
1.563,0,0,0,0,0,0,0,0,0
1.568,0,0,0,0,0,0,0,0,0
1.574,0,0,0,0,0,0,0,0,0
1.58,0,0,0,0,0,0,0,0,0
1.586,0,0,0,0,0,0,0,0,0
1.592,0,0,0,0,0,0,0,0,0
1.597,0,0,0,0,0,0,0,0,0
1.603,0,0,0,0,0,0,0,0,0
1.609,0,0,0,0,0,0,0,0,0
1.615,0,0,0,0,0,0,0,0,0
1.621,0,0,0,0,0,0,0,0,0
1.626,0,0,0,0,0,0,0,0,0
1.632,0,0,0,0,0,0,0,0,0
1.638,0,0,0,0,0,0,0,0,0
1.644,0,0,0,0,0,0,0,0,0
1.65,0,0,0,0,0,0,0,0,0
1.655,0,0,0,0,0,0,0,0,0
1.661,0,0,0,0,0,0,0,0,0
1.667,0,0,0,0,0,0,0,0,0
1.673,0,0,0,0,0,0,0,0,0
1.679,0,0,0,0,0,0,0,0,0
1.684,0,0,0,0,0,0,0,0,0
1.69,0,0,0,0,0,0,0,0,0
1.696,0,0,0,0,0,0,0,0,0
1.702,0,0,0,0,0,0,0,0,0
1.708,0,0,0,0,0,0,0,0,0
1.713,0,0,0,0,0,0,0,0,0
1.719,0,0,0,0,0,0,0,0,0
1.725,0,0,0,0,0,0,0,0,0
1.731,0,0,0,0,0,0,0,0,0
1.737,0,0,0,0,0,0,0,0,0
1.742,0,0,0,0,0,0,0,0,0
1.748,0,0,0,0,0,0,0,0,0
1.754,0,0,0,0,0,0,0,0,0
1.76,0,0,0,0,0,0,0,0,0
1.766,0,0,0,0,0,0,0,0,0
1.771,0,0,0,0,0,0,0,0,0
1.777,0,0,0,0,0,0,0,0,0
1.783,0,0,0,0,0,0,0,0,0
1.789,0,0,0,0,0,0,0,0,0
1.795,0,0,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0,0,0
1.806,0,0,0,0,0,0,0,0,0
1.812,0,0,0,0,0,0,0,0,0
1.818,0,0,0,0,0,0,0,0,0
1.824,0,0,0,0,0,0,0,0,0
1.829,0,0,0,0,0,0,0,0,0
1.835,0,0,0,0,0,0,0,0,0
1.841,0,0,0,0,0,0,0,0,0
1.847,0,0,0,0,0,0,0,0,0
1.853,0,0,0,0,0,0,0,0,0
1.858,0,0,0,0,0,0,0,0,0
1.864,0,0,0,0,0,0,0,0,0
1.87,0,0,0,0,0,0,0,0,0
1.876,0,0,0,0,0,0,0,0,0
1.882,0,0,0,0,0,0,0,0,0
1.887,0,0,0,0,0,0,0,0,0
1.893,0,0,0,0,0,0,0,0,0
1.899,0,0,0,0,0,0,0,0,0
1.905,0,0,0,0,0,0,0,0,0
1.911,0,0,0,0,0,0,0,0,0
1.916,0,0,0,0,0,0,0,0,0
1.922,0,0,0,0,0,0,0,0,0
1.928,0,0,0,0,0,0,0,0,0
1.934,0,0,0,0,0,0,0,0,0
1.94,0,0,0,0,0,0,0,0,0
1.945,0,0,0,0,0,0,0,0,0
1.951,0,0,0,0,0,0,0,0,0
1.957,0,0,0,0,0,0,0,0,0
1.963,0,0,0,0,0,0,0,0,0
1.969,0,0,0,0,0,0,0,0,0
1.974,0,0,0,0,0,0,0,0,0
1.98,0,0,0,0,0,0,0,0,0
1.986,0,0,0,0,0,0,0,0,0
1.992,0,0,0,0,0,0,0,0,0
1.998,0,0,0,0,0,0,0,0,0
2.003,0,0,0,0,0,0,0,0,0
2.009,0,0,0,0,0,0,0,0,0
2.015,0,0,0,0,0,0,0,0,0
2.021,0,0,0,0,0,0,0,0,0
2.027,0,0,0,0,0,0,0,0,0
2.032,0,0,0,0,0,0,0,0,0
2.038,0,0,0,0,0,0,0,0,0
2.044,0,0,0,0,0,0,0,0,0
2.05,0,0,0,0,0,0,0,0,0
2.056,0,0,0,0,0,0,0,0,0
2.061,0,0,0,0,0,0,0,0,0
2.067,0,0,0,0,0,0,0,0,0
2.073,0,0,0,0,0,0,0,0,0
2.079,0,0,0,0,0,0,0,0,0
2.085,0,0,0,0,0,0,0,0,0
2.09,0,0,0,0,0,0,0,0,0
2.096,0,0,0,0,0,0,0,0,0
2.102,0,0,0,0,0,0,0,0,0
2.108,0,0,0,0,0,0,0,0,0
2.114,0,0,0,0,0,0,0,0,0
2.119,0,0,0,0,0,0,0,0,0
2.125,0,0,0,0,0,0,0,0,0
2.131,0,0,0,0,0,0,0,0,0
2.137,0,0,0,0,0,0,0,0,0
2.143,0,0,0,0,0,0,0,0,0
2.148,0,0,0,0,0,0,0,0,0
2.154,0,0,0,0,0,0,0,0,0
2.16,0,0,0,0,0,0,0,0,0
2.166,0,0,0,0,0,0,0,0,0
2.172,0,0,0,0,0,0,0,0,0
2.177,0,0,0,0,0,0,0,0,0
2.183,0,0,0,0,0,0,0,0,0
2.189,0,0,0,0,0,0,0,0,0
2.195,0,0,0,0,0,0,0,0,0
2.201,0,0,0,0,0,0,0,0,0
2.206,0,0,0,0,0,0,0,0,0
2.212,0,0,0,0,0,0,0,0,0
2.218,0,0,0,0,0,0,0,0,0
2.224,0,0,0,0,0,0,0,0,0
2.23,0,0,0,0,0,0,0,0,0
2.235,0,0,0,0,0,0,0,0,0
2.241,0,0,0,0,0,0,0,0,0
2.247,0,0,0,0,0,0,0,0,0
2.253,0,0,0,0,0,0,0,0,0
2.259,0,0,0,0,0,0,0,0,0
2.264,0,0,0,0,0,0,0,0,0
2.27,0,0,0,0,0,0,0,0,0
2.276,0,0,0,0,0,0,0,0,0
2.282,0,0,0,0,0,0,0,0,0
2.288,0,0,0,0,0,0,0,0,0
2.293,0,0,0,0,0,0,0,0,0
2.299,0,0,0,0,0,0,0,0,0
2.305,0,0,0,0,0,0,0,0,0
2.311,0,0,0,0,0,0,0,0,0
2.317,0,0,0,0,0,0,0,0,0
2.322,0,0,0,0,0,0,0,0,0
2.328,0,0,0,0,0,0,0,0,0
2.334,0,0,0,0,0,0,0,0,0
2.34,0,0,0,0,0,0,0,0,0
2.346,0,0,0,0,0,0,0,0,0
2.351,0,0,0,0,0,0,0,0,0
2.357,0,0,0,0,0,0,0,0,0
2.363,0,0,0,0,0,0,0,0,0
2.369,0,0,0,0,0,0,0,0,0
2.375,0,0,0,0,0,0,0,0,0
2.38,0,0,0,0,0,0,0,0,0
2.386,0,0,0,0,0,0,0,0,0
2.392,0,0,0,0,0,0,0,0,0
2.398,0,0,0,0,0,0,0,0,0
2.404,0,0,0,0,0,0,0,0,0
2.409,0,0,0,0,0,0,0,0,0
2.415,0,0,0,0,0,0,0,0,0
2.421,0,0,0,0,0,0,0,0,0
2.427,0,0,0,0,0,0,0,0,0
2.433,0,0,0,0,0,0,0,0,0
2.438,0,0,0,0,0,0,0,0,0
2.444,0,0,0,0,0,0,0,0,0
2.45,0,0,0,0,0,0,0,0,0
2.456,0,0,0,0,0,0,0,0,0
2.462,0,0,0,0,0,0,0,0,0
2.467,0,0,0,0,0,0,0,0,0
2.473,0,0,0,0,0,0,0,0,0
2.479,0,0,0,0,0,0,0,0,0
2.485,0,0,0,0,0,0,0,0,0
2.491,0,0,0,0,0,0,0,0,0
2.496,0,0,0,0,0,0,0,0,0
2.502,0,0,0,0,0,0,0,0,0
2.508,0,0,0,0,0,0,0,0,0
2.514,0,0,0,0,0,0,0,0,0
2.52,0,0,0,0,0,0,0,0,0
2.525,0,0,0,0,0,0,0,0,0
2.531,0,0,0,0,0,0,0,0,0
2.537,0,0,0,0,0,0,0,0,0
2.543,0,0,0,0,0,0,0,0,0
2.549,0,0,0,0,0,0,0,0,0
2.554,0,0,0,0,0,0,0,0,0
2.56,0,0,0,0,0,0,0,0,0
2.566,0,0,0,0,0,0,0,0,0
2.572,0,0,0,0,0,0,0,0,0
2.578,0,0,0,0,0,0,0,0,0
2.583,0,0,0,0,0,0,0,0,0
2.589,0,0,0,0,0,0,0,0,0
2.595,0,0,0,0,0,0,0,0,0
2.601,0,0,0,0,0,0,0,0,0
2.607,0,0,0,0,0,0,0,0,0
2.612,0,0,0,0,0,0,0,0,0
2.618,0,0,0,0,0,0,0,0,0
2.624,0,0,0,0,0,0,0,0,0
2.63,0,0,0,0,0,0,0,0,0
2.636,0,0,0,0,0,0,0,0,0
2.641,0,0,0,0,0,0,0,0,0
2.647,0,0,0,0,0,0,0,0,0
2.653,0,0,0,0,0,0,0,0,0
2.659,0,0,0,0,0,0,0,0,0
2.665,0,0,0,0,0,0,0,0,0
2.67,0,0,0,0,0,0,0,0,0
2.676,0,0,0,0,0,0,0,0,0
2.682,0,0,0,0,0,0,0,0,0
2.688,0,0,0,0,0,0,0,0,0
2.694,0,0,0,0,0,0,0,0,0
2.699,0,0,0,0,0,0,0,0,0
2.705,0,0,0,0,0,0,0,0,0
2.711,0,0,0,0,0,0,0,0,0
2.717,0,0,0,0,0,0,0,0,0
2.723,0,0,0,0,0,0,0,0,0
2.728,0,0,0,0,0,0,0,0,0
2.734,0,0,0,0,0,0,0,0,0
2.74,0,0,0,0,0,0,0,0,0
2.746,0,0,0,0,0,0,0,0,0
2.752,0,0,0,0,0,0,0,0,0
2.757,0,0,0,0,0,0,0,0,0
2.763,0,0,0,0,0,0,0,0,0
2.769,0,0,0,0,0,0,0,0,0
2.775,0,0,0,0,0,0,0,0,0
2.781,0,0,0,0,0,0,0,0,0
2.786,0,0,0,0,0,0,0,0,0
2.792,0,0,0,0,0,0,0,0,0
2.798,0,0,0,0,0,0,0,0,0
2.804,0,0,0,0,0,0,0,0,0
2.81,0,0,0,0,0,0,0,0,0
2.815,0,0,0,0,0,0,0,0,0
2.821,0,0,0,0,0,0,0,0,0
2.827,0,0,0,0,0,0,0,0,0
2.833,0,0,0,0,0,0,0,0,0
2.839,0,0,0,0,0,0,0,0,0
2.844,0,0,0,0,0,0,0,0,0
2.85,0,0,0,0,0,0,0,0,0
2.856,0,0,0,0,0,0,0,0,0
2.862,0,0,0,0,0,0,0,0,0
2.868,0,0,0,0,0,0,0,0,0
2.873,0,0,0,0,0,0,0,0,0
2.879,0,0,0,0,0,0,0,0,0
